Day,Date,Title,Link
Tuesday, 10 October 2000,"KDE 2.0 Release Announcement",https://kde.org/announcements/1-2-3/2.0-rc2/
Monday, 2 October 2000,"Linux Congress Documentation and Localization Workshop",https://kde.org/announcements/doc-loc-meeting/
Friday, 15 September 2000,"KDE 1.94 Release Announcement",https://kde.org/announcements/1-2-3/1.94/
Tuesday, 5 September 2000,"KDE Official Response to Stallman Editorial",https://kde.org/announcements/rmsresponse/
Thursday, 31 August 2000,"KDE Official Response to GNOME Foundation",https://kde.org/announcements/gfresponse/
Wednesday, 23 August 2000,"KDE 1.93 Release Announcement",https://kde.org/announcements/1-2-3/1.93/
Tuesday, 22 August 2000,"KDE Desktop Is Show Favorite at LinuxWorld Expo",https://kde.org/announcements/lwe_08_2000.bw.press-release/
Saturday, 29 July 2000,"KDE 2 Launch Pad",https://kde.org/announcements/k2launchpad/
Tuesday, 25 July 2000,"KDE 1.92 Release Announcement",https://kde.org/announcements/1-2-3/1.92/
Wednesday, 14 June 2000,"KDE 1.91 Release Announcement",https://kde.org/announcements/1-2-3/1.91/
Friday, 12 May 2000,"KDE 1.90 Release Announcement",https://kde.org/announcements/1-2-3/1.90/
Thursday, 10 February 2000,"SourceForge hosts KDE CVS",https://kde.org/announcements/sfcvs/
Wednesday, 15 December 1999,"KDE 1.89 Release Announcement",https://kde.org/announcements/1-2-3/1.89/
Tuesday, 14 September 1999,"Meet the KDE Team at CeBIT 2000 Show",https://kde.org/announcements/cebit2000/
Monday, 13 September 1999,"KDE 1.1.2 Release Announcement",https://kde.org/announcements/1-2-3/1.1.2/
Monday, 3 May 1999,"KDE 1.1.1 Release Announcement",https://kde.org/announcements/1-2-3/1.1.1/
Friday, 19 March 1999,"ZD Innovation of the Year 1998/1999",https://kde.org/announcements/zd-innov-cebit99/
Wednesday, 25 November 1998,"Corel Computer and KDE Announce Technology Relationship",https://kde.org/announcements/kde-corel/
Friday, 4 September 1998,"KDE Included in Delix",https://kde.org/announcements/dldannounc/
Wednesday, 29 July 1998,"KDE included in SuSE Linux Announcements",https://kde.org/announcements/kde-suse/
Thursday, 16 July 1998,"KDE Announces Support Of KDE Technology",https://kde.org/announcements/kde-caldera/
Sunday, 12 July 1998,"KDE 1.0 Release Announcement",https://kde.org/announcements/1-2-3/1.0/
Sunday, 19 April 1998,"KDE 1.0-beta4 Release Announcement",https://kde.org/announcements/1-2-3/1.0-beta4/
Sunday, 1 February 1998,"KDE 1.0-beta3 Release Announcement",https://kde.org/announcements/1-2-3/1.0-beta3/
Sunday, 23 November 1997,"KDE 1.0-beta2 Release Announcement",https://kde.org/announcements/1-2-3/1.0-beta2/
Monday, 20 October 1997,"KDE 1.0-beta1 Release Announcement",https://kde.org/announcements/1-2-3/1.0-beta1/
